,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Tekeste Solomon - Akaley | ኣካለይ - New Eritrean Music 2022 by ATA Media 1 month ago 7 minutes, 12 seconds 119,158 views",ATA Media,"119,158","131,103",11945
1,"Kaleab Teweldemedhin - Gidefu |ግደፉ New Eritrean Music 2021 by ATA Media 3 months ago 4 minutes, 58 seconds 433,137 views",ATA Media,"433,137","442,909",9772
2,"Rimdet Alem - Ngdefo | ንግደፎ New Eritrean Music 2021 by ATA Media 4 months ago 5 minutes, 11 seconds 442,136 views",ATA Media,"442,136","451,053",8917
3,"Awet Mihreteab - Mqaley | ምቃለይ - New Eritrean Music 2021 by ATA Media 5 months ago 4 minutes, 26 seconds 126,583 views",ATA Media,"126,583","128,465",1882
4,"Senay Hadgu - Siqta | ስቕታ - New Eritrean Music 2021 by ATA Media 6 months ago 4 minutes, 32 seconds 576,352 views",ATA Media,"576,352","580,746",4394
5,"Fana Abraha - Shikorey | ሽኮረይ - New Eritrean Music 2021 by ATA Media 6 months ago 5 minutes 548,617 views",ATA Media,"548,617","551,814",3197
6,"Mussie Yemane (Mossi) - Mehenenit | መሀነኒት New Eritrean Music 2021 by ATA Media 6 months ago 5 minutes, 6 seconds 122,754 views",ATA Media,"122,754","122,868",114
7,"Kaleab Teweldemedhin and Saba Andemariam - Tifqrina | ት'ፍቕርና - New Eritrean Music 2021 by ATA Media 6 months ago 5 minutes, 15 seconds 5,929,739 views",ATA Media,"5,929,739","6,074,146",144407
8,"Coming Soon - Kaleab Teweldemedhin and Saba Andemariam - Tifqrina | ት'ፍቕርና -New Eritrean Music by ATA Media 6 months ago 38 seconds 379,114 views",ATA Media,"379,114","379,877",763
9,"Eyob Russom (Azan) - Selam | ሰላም - New Eritrean Music 2021 (Offical Music Video) by ATA Media 7 months ago 6 minutes, 25 seconds 214,285 views",ATA Media,"214,285","216,537",2252
10,"Samuel Merhawi  - Yitameki | ይጥዓመኪ - New Eritrean (Tigrigna) Music  2021 by ATA Media 9 months ago 6 minutes, 2 seconds 100,736 views",ATA Media,"100,736","100,947",211
11,"Fitsum Mekonnen (ወዲ ባጽዕ) - Nsane | ንሳነ- New Eritrean Music 2021 by ATA Media 9 months ago 5 minutes, 49 seconds 115,232 views",ATA Media,"115,232","115,302",70
12,"Kflay Solomon - Menna'yu | መንናዩ - New Eritrean Music Video 2021 by ATA Media 9 months ago 5 minutes, 24 seconds 160,130 views",ATA Media,"160,130","160,351",221
13,"Tesfit Bereket (Wedi Keshi)-Aytitertrini | ኣይትጠርጥርኒ - New Eritrean Music 2021 by ATA Media 10 months ago 6 minutes, 28 seconds 104,626 views",ATA Media,"104,626","104,936",310
14,"Tirhas Haddish - Lezizey | ለዚዘይ - New Eritrean Music 2021 by ATA Media 1 year ago 5 minutes, 47 seconds 152,466 views",ATA Media,"152,466","152,688",222
15,"Teshome Araya - Lbey | ልበይ - New Eritrean Music 2021 by ATA Media 1 year ago 7 minutes, 17 seconds 1,187,471 views",ATA Media,"1,187,471","1,191,479",4008
16,"Jemal Romodan - Tkieliyodo'leki | ትኽእልዮዶ’ለኺ - Eritrean Music 2021 by ATA Media 1 year ago 4 minutes, 57 seconds 802,159 views",ATA Media,"802,159","804,488",2329
17,"Andit Okbay - Weynoy | ወይኖይ - New Eritrean Tigrigna Music 2020 by ATA Media 1 year ago 6 minutes, 28 seconds 497,066 views",ATA Media,"497,066","497,583",517
18,"Kaleab Teweldemedhin - Hilel Adi | ሒለል ዓዲ - New Eritrean Music 2020 by ATA Media 1 year ago 5 minutes, 49 seconds 4,203,984 views",ATA Media,"4,203,984","4,234,358",30374
19,"Merhawi Kidane (Qarya/ቃርያ) Shita Leminey - ሽታ ለሚነይ New Eritrean Music 2020 by ATA Media 1 year ago 4 minutes, 54 seconds 1,446,983 views",ATA Media,"1,446,983","1,455,961",8978
20,"Mukur Weldu (Ze-Mak) - Abti Guday | ኣብቲ ጉዳይ - New Ethiopian Tigrigna Music 2020 (official) by ATA Media 1 year ago 4 minutes, 39 seconds 198,070 views",ATA Media,"198,070","198,242",172
21,"Hadish Measho - Qebzarey | ቀብዛረይ - New Eritrean Music 2020 by ATA Media 1 year ago 4 minutes, 43 seconds 579,640 views",ATA Media,"579,640","581,182",1542
22,"Nazrawi Asgedom - Aykethafrin'ki [ኣይክትሓፍርን'ኺ] New Eritrean Music 2020 by ATA Media 1 year ago 5 minutes, 31 seconds 2,255,961 views",ATA Media,"2,255,961","2,268,054",12093
23,"Hani Mihreteab - Teadile | ተዓዲለ - New Eritrean Music 2020 by ATA Media 1 year ago 5 minutes, 31 seconds 2,055,645 views",ATA Media,"2,055,645","2,071,414",15769
24,"Fana Abraha - Slumey | ስሉመይ - New Eritrean Music 2020 by ATA Media 2 years ago 4 minutes, 50 seconds 1,791,694 views",ATA Media,"1,791,694","1,794,157",2463
25,"Fitsum Alem (Wedi Alem) - Dehaya | ድሃያ- New Eritrean Music by ATA Media 2 years ago 5 minutes, 47 seconds 301,623 views",ATA Media,"301,623","301,743",120
26,"Bereket Ogbamichael (Beramu) - Luley | ሉለይ - New Eritrean Music 2019 by ATA Media 2 years ago 5 minutes, 56 seconds 5,602,623 views",ATA Media,"5,602,623","5,652,393",49770
27,"Tesfalem Arefaine - Korchach - Ane'hsheki | ኣነ'ሕሸኪ New Eritrean Music 2019 by ATA Media 2 years ago 6 minutes, 7 seconds 8,252,733 views",ATA Media,"8,252,733","8,300,867",48134
28,"samon Haile Ft. Merkeb Bonitua - Abela |ኣቤላ  New Ethiopian Tigrigna Music Video 2019 by ATA Media 2 years ago 4 minutes, 28 seconds 691,068 views",ATA Media,"691,068","691,517",449
29,"Tesfalem Arefaine - Korchach - Laza | ላዛ - New Eritrean Music 2019 by ATA Media 2 years ago 5 minutes, 55 seconds 2,495,128 views",ATA Media,"2,495,128","2,498,028",2900
30,"Meaza Yohannes - Nikedem Bel | ንቀደም በል New Ethiopian Music 2019 by ATA Media 2 years ago 5 minutes, 31 seconds 859,048 views",ATA Media,"859,048","860,795",1747
31,"Aklilu Hadera (Aki) - Zmneya | ዝምነያ - New Eritrean Music 2019 by ATA Media 2 years ago 4 minutes, 35 seconds 1,247,074 views",ATA Media,"1,247,074","1,248,682",1608
32,"ATA Media - Eshok Chika (እሾኽ ጭቃ) New Eritrean Short Movie 2019 by ATA Media 2 years ago 20 minutes 49,324 views",ATA Media,"49,324","49,339",15
33,"Awet Mihreteab - Mamaye | ማማየ - New Eritrean Music 2019 by ATA Media 2 years ago 6 minutes, 24 seconds 269,140 views",ATA Media,"269,140","269,205",65
34,"Samsom Tekeste (Wedi Keshi) - Meley | መለይ - New Eritrean Music 2019 by ATA Media 2 years ago 7 minutes, 24 seconds 349,485 views",ATA Media,"349,485","350,394",909
35,"Merhawi Tewelde - Haka'la | ሓቃ'ላ - New Eritrean Music 2019 by ATA Media 2 years ago 4 minutes, 56 seconds 2,540,801 views",ATA Media,"2,540,801","2,544,072",3271
36,"Tirhas Haddish - milatey [ ምልኣተይ ] - New Eritrean Music 2019 (Official Video) by ATA Media 2 years ago 6 minutes, 29 seconds 280,350 views",ATA Media,"280,350","280,461",111
37,"Jemal Romodan - Yeakleni | ይኣኽለኒ New Eritrean Music 2019 by ATA Media 2 years ago 7 minutes, 9 seconds 1,293,953 views",ATA Media,"1,293,953","1,295,410",1457
38,"Fana Abrha and Robel Haile - Wsedeni | ውሰደኒ -  New Eritrean Music 2019 by ATA Media 2 years ago 5 minutes, 14 seconds 1,148,725 views",ATA Media,"1,148,725","1,150,606",1881
39,"simon Tsegay - Abera Gidey | ኣበራ ግደይ - New Eritrean Music 2019 by ATA Media 2 years ago 4 minutes, 32 seconds 257,675 views",ATA Media,"257,675","257,764",89
40,"Hadish Measho - Weyno | ወይኖ New Eritrean Music 2019 by ATA Media 2 years ago 6 minutes, 14 seconds 1,998,318 views",ATA Media,"1,998,318","1,999,584",1266
41,"Hani Mihreateab - Hamatey | ሓማተይ - New Eritrean Music 2019 by ATA Media 2 years ago 6 minutes, 36 seconds 7,248,794 views",ATA Media,"7,248,794","7,286,792",37998
42,"Yoel Nega - Yimelalesenilo - New Eritrean Music Video 2019 by ATA Media 2 years ago 5 minutes, 20 seconds 437,408 views",ATA Media,"437,408","437,906",498
43,"Araya Emhatsien (Aru) -Mumlaq Yelen - New Eritrean Music 2019 by ATA Media 2 years ago 5 minutes, 6 seconds 1,068,229 views",ATA Media,"1,068,229","1,070,127",1898
44,"Sertsebirhan  Tadesse -  Anele | ኣነለ - New Ethiopian Music 2019 by ATA Media 2 years ago 5 minutes, 20 seconds 4,468,523 views",ATA Media,"4,468,523","4,476,548",8025
45,"Andit Okbay - Habeney | ሓበነይ - New Remix Eritrean Music 2019 by ATA Media 2 years ago 7 minutes, 44 seconds 3,402,768 views",ATA Media,"3,402,768","3,417,081",14313
46,"Efrem Tadesse - Fikiri Elama Yu - New Eritrean Music video 2019 by ATA Media 2 years ago 4 minutes, 28 seconds 216,109 views",ATA Media,"216,109","216,267",158
47,"Abraham Teshome  Des De | ደስ ደስ  New Eritrean Music Video 2019 by ATA Media 2 years ago 5 minutes, 44 seconds 185,484 views",ATA Media,"185,484","185,541",57
48,"Tesfalem Arefaine Korchach  - Libey Tedalo | ልበይ ተዳሎ New Eritrean Music 2019 by ATA Media 2 years ago 5 minutes, 51 seconds 1,811,902 views",ATA Media,"1,811,902","1,814,455",2553
49,"Senait G/Mariam Habreni | ሓብረኒ New Ethiopian Music Video 2019 by ATA Media 2 years ago 3 minutes, 43 seconds 640,935 views",ATA Media,"640,935","641,064",129
50,"Temesghen Yared - Aba Timer | ኣባ ጥመር  New Eritrean Music 2019 by ATA Media 3 years ago 4 minutes, 18 seconds 213,329 views",ATA Media,"213,329","213,684",355
51,"Mussie Zekarias (wedi Zeku) Yelen | የለን - New Eritrean Music 2019 by ATA Media 3 years ago 5 minutes, 48 seconds 867,605 views",ATA Media,"867,605","868,205",600
52,"Bereket Ogbamichael (beramu)- Alamida | ኣላሚዳ  - New Eritrean Music 2019 by ATA Media 3 years ago 5 minutes, 1 second 4,278,102 views",ATA Media,"4,278,102","4,292,670",14568
53,"Samon Haile ft. Tmnit Welday - Tama Tama [ጣማ ጣማ] - New Ethiopian Music 2019 by ATA Media 3 years ago 4 minutes, 9 seconds 1,406,915 views",ATA Media,"1,406,915","1,408,247",1332
54,"Kibrom Russom (Wedi Russom) - Eimenini | እመንኒ - New Eritrean Music 2019 by ATA Media 3 years ago 5 minutes, 1 second 230,425 views",ATA Media,"230,425","230,456",31
55,"Kaleab Teweldemedhin - Koraley | ኮራለይ - New Eritrean Music 2019 by ATA Media 3 years ago 5 minutes, 8 seconds 10,013,149 views",ATA Media,"10,013,149","10,042,090",28941
56,"Fana Abraha - Endeley | እንድዕለይ -  New Eritrean Music Video 2019 by ATA Media 3 years ago 4 minutes, 3 seconds 3,243,966 views",ATA Media,"3,243,966","3,245,363",1397
57,"Yohana Amanuel - Admasey | ኣድማሰይ - New Eritrean Music 2019 by ATA Media 3 years ago 5 minutes, 42 seconds 143,426 views",ATA Media,"143,426","143,464",38
