,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Yared Negu - Yegir Esat |ያሬድ ነጉ - የእግር እሳት ከካሜራ በስተጀርባ 2022 by 16 Plus Entertainment 2 weeks ago 13 minutes, 6 seconds 534 views",16 Plus Entertainment,534,643,109
1,"Zebiba Girma - Ayehu Gela - ዘቢባ ግርማ - አየሁ ገላ የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ  2021 by 16 Plus Entertainment 3 months ago 18 minutes 1,069 views",16 Plus Entertainment,1069,1121,52
2,26 September 2021 by 16 Plus Entertainment 5 months ago 16 seconds 255 views,16 Plus Entertainment,255,260,5
3,"Yared Negu & Millen Hailu-(BIRA-BIRO)የ ያሬድ ነጉ እና የ ሚለን ሀይሉ 'ቢራቢሮ' የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ ክፍል ሁለት 2021 by 16 Plus Entertainment 7 months ago 11 minutes, 57 seconds 159,257 views",16 Plus Entertainment,159257,159913,656
4,"Ethiopian Music Bisrat Surafel ብስራት ሱራፌል (ትሆን ወይ) የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ Behind Scenes 2021 by 16 Plus Entertainment 7 months ago 23 minutes 6,543 views",16 Plus Entertainment,6543,6618,75
5,"Yared Negu & Millen Hailu - (BIRA-BIRO)የ ያሬድ ነጉ እና የ ሚለን ሀይሉ 'ቢራቢሮ' የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ 2021 by 16 Plus Entertainment 8 months ago 16 minutes 354,415 views",16 Plus Entertainment,354415,354947,532
6,ልዩ የበዓል ፕሮግራም ክፍል 1 by 16 Plus Entertainment 1 year ago 19 minutes 597 views,16 Plus Entertainment,597,599,2
7,"Ethiopia: Zebiba Girma (Zim) ዘቢባ ግርማ (ዝም) - New Ethiopian Music 2020(Official Video) by 16 Plus Entertainment 1 year ago 1 minute, 15 seconds 348,514 views",16 Plus Entertainment,348514,350044,1530
8,"ጃኪ ጎሲ | እንዳሞራው  - Jacky Gosee | Ende Amoraw || BEHIND THE SCENES || ምርጥ ከካሜራ ጀርባ ትእይንቶች by 16 Plus Entertainment 2 years ago 12 minutes, 5 seconds 22,298 views",16 Plus Entertainment,22298,22344,46
9,"ወጣት በ 97 | WETAT BE 97 - ከካሜራ ጀርባ ትእይንቶች || ክፍል 2 || 16 Film Production by 16 Plus Entertainment 2 years ago 9 minutes, 16 seconds 12,853 views",16 Plus Entertainment,12853,13098,245
10,"ወጣት በ 97 | WETAT BE 97 - ከካሜራ ጀርባ ትእይንቶች || ክፍል 1 - 16 Film Production by 16 Plus Entertainment 2 years ago 8 minutes, 51 seconds 10,580 views",16 Plus Entertainment,10580,10899,319
11,"ኢትኤል Ethiopian movie trailer - Ethal 2019 - 16 Film Production by 16 Plus Entertainment 2 years ago 2 minutes, 31 seconds 15,495 views",16 Plus Entertainment,15495,15504,9
12,"Behind The Scene Kako Getachew - Aroge Arada 2 - አሮጌ አራዳ 2 music video - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 5 seconds 15,685 views",16 Plus Entertainment,15685,15767,82
13,"Welcome To 16 Film production official Channel - 16 Film Production by 16 Plus Entertainment 2 years ago 1 minute, 32 seconds 4,860 views",16 Plus Entertainment,4860,4882,22
14,"Asgegnew Ashko Asge /Lade / ላዴ  Music Mideo Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 46 seconds 2,737 views",16 Plus Entertainment,2737,2744,7
15,"Bisrat Surafel /Yebet Sira /የቤት ስራ Music clip Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 2 minutes, 28 seconds 4,348 views",16 Plus Entertainment,4348,4355,7
16,"ያሬድ ነጉ - ያጉቴ - ከካሜራ ጀርባ || Yared Negu - Yagute - Music video Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 39 seconds 104,136 views",16 Plus Entertainment,104136,104229,93
17,"😲🔥ታዳሚውን  በጭፈራ ያስደመሙት ሙሽሮች😲🔥 Amazing Ethiopian habesha wedding  አዝናኝ የስርግ ላይ ጭፈራዎች by Adey Entertainment 3 months ago 9 minutes, 21 seconds 676 views",Adey Entertainment,676,700,24
18,"💎Luxury wedding 💎 in Addis Abeba / Tsion & Sirak /አዝናኝ የስርግ ፕሮግራም / ETHIOPIAN  HABESHA WEDDING VIDEO by Adey Entertainment 3 months ago 8 minutes, 16 seconds 7,693 views",Adey Entertainment,7693,8204,511
19,ዝነኛው ሾው/Zenegnaw Show/ Coming Soon by Adey Entertainment 8 months ago 23 seconds 121 views,Adey Entertainment,121,121,0
20,"Amazing Ethiopian habesha wedding  አዝናኝ የስርግ ላይ ጭፈራዎች by Adey Entertainment 11 months ago 59 seconds 6,893 views",Adey Entertainment,6893,6975,82
21,SKALES  - Live Concert in Ethiopia Addis Abeba  WAZEMA Concert  🔥🔥🔥 by Adey Entertainment 1 year ago 26 minutes 443 views,Adey Entertainment,443,446,3
22,"Hewan Gebrewold - Gude Fela | ሄዋን ገብረወልድ | ጉዴፈላ| - New Ethiopian Music 2020 (Official Video) by Adey Entertainment 1 year ago 4 minutes 187,331 views",Adey Entertainment,187331,187794,463
23,"ቤቲ ጂ - / አዲስ አመት /  BETTY G - ""ABEBAYEHOSH"" by Adey Entertainment 1 year ago 5 minutes, 58 seconds 2,018 views",Adey Entertainment,2018,2027,9
24,"አዝናኝ የስርግ ፕሮግራም  እና ጭፈራዎች THE MOST BEAUTIFUL ETHIOPIAN  HABESHA WEDDING VIDEO ""NADIYA AND MIKREAB"" by Adey Entertainment 1 year ago 9 minutes, 42 seconds 230,958 views",Adey Entertainment,230958,232053,1095
25,"ሔኖክ ድንቁ - ለ ሜላት ነብዩ የጋብዛት ዘፈን ""ክፍል 2""  አዝናኝ ቆይታ/ ዝነኛው ሾው/Zenegnaw Show/ Melat Nebeyou & Henok Dinku by Adey Entertainment 1 year ago 11 minutes, 23 seconds 8,867 views",Adey Entertainment,8867,8893,26
26,"በጉጉት ሲጠበቅ የነበረው የ ሜላት ነብዮ ቃለ መጠይቅ እና አስቂኝ  አዝናኝ ጨዋታ Melat Nebeyou & Henok Dinku Zenegnaw Show by Adey Entertainment 1 year ago 13 minutes, 5 seconds 19,757 views",Adey Entertainment,19757,19899,142
27,"ከ አርቲሰት ሜላት ነብዩ ጋር የተደረገ ቃለ መጠየቅ (አዝናኝና አስቂኝ ጨዋታ) ዝነኛው ሾው/ Melat Nebeyou & Henok Dinku Zenegnaw Show by Adey Entertainment 1 year ago 2 minutes, 43 seconds 35,323 views",Adey Entertainment,35323,35513,190
28,"ከ አርቲሰት ሔኖክ ድንቁ ጋር የተደረገ ቃለ መጠየቅ እና  አዝናኝ ቆይታ/ ዝነኛው ሾው/Zenegnaw Show/ Melat Nebeyou & Henok Dinku by Adey Entertainment 1 year ago 10 minutes, 42 seconds 218,100 views",Adey Entertainment,218100,218899,799
29,"Sami Dan - Lebe Sema | ልቤ ስማ - New Ethiopian Music 2019 (Official Video) by Adey Entertainment 2 years ago 6 minutes, 1 second 25,116 views",Adey Entertainment,25116,25296,180
