,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Danawit ዳናዊት #shorts by Art plus Family 4 months ago 1 minute, 4 seconds 20 views",Art plus Family,20,21,1
1,#shorts Oromiya Dance by Art plus Family 4 months ago 45 seconds 8 views,Art plus Family,8,9,1
2,"Teamir Gizaw when she sing the song of Hachalu Hundessa | ተዓምር ግዛው በሃጫሉ ሁንዴሣ ሙዚቃ |Live  Performance by Art plus Family 7 months ago 7 minutes, 24 seconds 67 views",Art plus Family,67,69,2
3,"Yared Zeleke x Anbessaye Records - Serategha |ሰራተኛ New Ethiopia Challange Music 2021(Official Audio) by Art plus Family 10 months ago 2 minutes, 24 seconds 116 views",Art plus Family,116,118,2
4,"Miki Jano and Rahel Getu by Art plus Family 10 months ago 1 minute, 1 second 2,429 views",Art plus Family,2429,2481,52
5,"ዋልያዎቹ ከ ኮትዲቯር መልበሻ ቤት ደስታቸውን ሲገልፁ - Walia's From Cotdīvour by Art plus Family 11 months ago 2 minutes, 25 seconds 30 views",Art plus Family,30,31,1
6,Ethiopian traditional dance -እስክስታ by Art plus Family 11 months ago 40 seconds 169 views,Art plus Family,169,170,1
7,ያሆ በል ፈረንጅ ወታደሮች ሲቀውጡት/subscribe subscribe by Art plus Family 11 months ago 55 seconds 98 views,Art plus Family,98,106,8
8,ድምፃዊ አብነት ትንሹ ጥላሁን የዶ/ር ጥላሁን ገሠሠን አዲስ ሙዚቃ በመኪና ውስጥ በግሩም ሁኔታ Artist Abinet singing Dr. Tilahn's song by Art plus Family 11 months ago 45 seconds 147 views,Art plus Family,147,149,2
9,ኢትዮጽያዊያን ውብ አርቲስቶች በቴዲ አፍሮ ሙዚቃ /Ethiopian Beautifull Actress -Tedy Afro Ethiopia by Art plus Family 11 months ago 54 seconds 30 views,Art plus Family,30,31,1
10,"Elias Merawi And Alazar Kasshun -Bera Ken በራ ቀን NEW Ethiopian Music 2021[Official Dance Video] by Art plus Family 11 months ago 3 minutes, 23 seconds 752 views",Art plus Family,752,762,10
11,#Short     Adwa Shelela by Art plus Family 1 year ago 31 seconds 34 views,Art plus Family,34,34,0
12,#Shorts by Art plus Family 1 year ago 47 seconds 36 views,Art plus Family,36,37,1
13,#Shorts አለም አቀፉ ማኛ😂 -የዮኒ ማኛን  ድምፅ ማስመሰል by Art plus Family 1 year ago 16 seconds 436 views,Art plus Family,436,437,1
14,#Short  Very Funny by Art plus Family 1 year ago 13 seconds 15 views,Art plus Family,15,16,1
15,"#Short ዝማሬ በአውሮፕላን ውስጥ|Singing a orthdox song in Ethiopian Air lines  only in ethiopia by Art plus Family 1 year ago 40 seconds 2,137 views",Art plus Family,2137,2154,17
16,በራ ቀን Bera qen New Ethiopian free style Dance video #Ethiopianmusic #Ethiopian Dance #Freestyle by Art plus Family 1 year ago 1 minute 283 views,Art plus Family,283,285,2
17,#Shorts by Art plus Family 1 year ago 56 seconds 34 views,Art plus Family,34,35,1
18,#Shorts by Art plus Family 1 year ago 31 seconds 42 views,Art plus Family,42,43,1
19,"jo blacki Ney Ney ጆ ብላኪ-ነይ ነይ New Ethiopian music 2021 (official Audio) by Art plus Family 1 year ago 4 minutes, 25 seconds 450 views",Art plus Family,450,451,1
20,''አንተ ትብስ'' አጭር ፊልም ''Ante Tebese''New Ethiopian short movie2013/2021(ከዓመታት በፊት የተሰራ) by Art plus Family 1 year ago 3 minutes 100 views,Art plus Family,100,100,0
21,"Asina genaye አሲና  AnbessayeLiveLounge /Various Young Artists New Ethiopian Music 2021[Live Session] by Art plus Family 1 year ago 4 minutes, 12 seconds 903 views",Art plus Family,903,903,0
22,አሲና ገናዬ የዳንስ  ቪዲዮ Asina Genaye Heruye family Dancers New Ethiopian Dance Video 2020 by Art plus Family 1 year ago 45 seconds 541 views,Art plus Family,541,542,1
23,"አስገራሚ ፈጠራዎች በበራ ቀን ሙዚቃ ቻሌንጅ ከTik tik መንደርBera ken challange creativity&Ethiopian couples photo part2 by Art plus Family 1 year ago 10 minutes, 6 seconds 136 views",Art plus Family,136,136,0
24,"Beautiful Ethiopian Girls on Bera ken Tik Tok challenge  And  weeding With Photo Collection Part-1 by Art plus Family 1 year ago 11 minutes, 29 seconds 209 views",Art plus Family,209,212,3
25,"New Ethiopian Best freestyle  Dance Video Asina Genaye አሲና ገናዬ የፍሪ ስታይል ዳንስ  ቪዲዮ (Promo Video) 2020 by Art plus Family 1 year ago 1 minute, 9 seconds 540 views",Art plus Family,540,542,2
26,"Asina Genaye""አሲና ገናዬ""ዜማ ሕሩይ/Anbessaye studio New Ethiopian EDM Music 2020[official Audio  Spectrum] by Art plus Family 1 year ago 3 minutes, 58 seconds 4,331 views",Art plus Family,4331,4349,18
27,"Very Funny Ethiopian Kid Perform Old Song In Hager Fiker Theatre  50 አለቃ ባዩሽ እጅግ አስቂኝ[Lypsync] by Art plus Family 1 year ago 2 minutes, 15 seconds 277 views",Art plus Family,277,284,7
28,"ፕሮፌሰር መስፍን ወልደማርያም ማን ናቸው? የቴዲ አፍሮ እና የዶር አብይ አህመድ የሀዘን መግለጫ #ከዚህም ከዚያም by Art plus Family 1 year ago 3 minutes, 41 seconds 66 views",Art plus Family,66,66,0
29,"Elias Merawi & Alazar Kassahun  Bera Qen በራ ቀን New Ethiopian Music 2020 Official Lyrics Video by Art plus Family 1 year ago 3 minutes, 57 seconds 12,539 views",Art plus Family,12539,12606,67
30,"Elias Merawi & Alazar Kassahun -  Bera Ken በራ ቀን [Coming Soon Music  Promo /ቅንጭብ ቅምሻ]  New Music2020 by Art plus Family 1 year ago 31 seconds 1,360 views",Art plus Family,1360,1364,4
31,እየመጣን ነው Subscribe በማድረግ ስለምታግዙን እናመሰግናለንArt plus Family Intro Logo 1 Coming Soon by Art plus Family 1 year ago 11 seconds 166 views,Art plus Family,166,166,0
