,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Getnet Alemayehu & Bekalu Alemayehu - Atfersim | አትፈር…ስም (አትገረምም ቁ.3) - New Ethiopian Music 2021 by Bilata 2 months ago 6 minutes, 54 seconds 429,858 views",Bilata,429858,439294,9436
1,የወጣቶች ድምፅ..አንድ ላይ በመሆን ወጣቶች ራሳቸውና ማህበረሰባቸው ላይ ለውጥ ማምጣት የሚችሉበት መድረክ by Bilata 3 months ago 20 minutes 670 views,Bilata,670,675,5
2,"በህንዶች የደመቀው የአዲስ አመት 2014 E.C የገበያ ድባብ በአዲስአበባ !!! by Bilata 5 months ago 13 minutes, 52 seconds 466 views",Bilata,466,470,4
3,ቡሄ ከዋለ የለም ክረምት፤ ዶሮ ከጮኸ የለም ሌሊት by Bilata 6 months ago 15 minutes 545 views,Bilata,545,551,6
4,"ADDIS ABABA CITY TOUR/The Best of ADDIS ABABA/ Travel Guide Video Highlights by Bilata 6 months ago 1 minute, 36 seconds 344 views",Bilata,344,355,11
5,"ንጥረ - ሐቅ | የኮሮና ክትባት ለምን ይፈራል?  Info you Need to Know About COVID-19 Vaccine …. by Bilata 7 months ago 10 minutes, 12 seconds 774 views",Bilata,774,787,13
6,"ንጥረ - ሐቅ | ታሪካዊው ድል!!! የግድብ ሁለተኛው ሙሌት እውነታ | Ethipian GERD Facts by Bilata 8 months ago 8 minutes, 28 seconds 1,129 views",Bilata,1129,1132,3
7,"ብላታ ጥያቄና መልስ: 06 | ይመልሱ! ይሸለሙ! by Bilata 8 months ago 5 minutes, 15 seconds 232 views",Bilata,232,235,3
8,"ብላታ ጥያቄና መልስ: 05 | ይመልሱ! ይሸለሙ! by Bilata 8 months ago 5 minutes, 9 seconds 325 views",Bilata,325,328,3
9,"ብላታ ጥያቄ 04 ፡- ጠቅላላ እውቀት ምላሽ by Bilata 8 months ago 6 minutes, 54 seconds 244 views",Bilata,244,269,25
10,"ብላታ ጥያቄና መልስ: 04 | ይመልሱ! ይሸለሙ! by Bilata 8 months ago 4 minutes, 22 seconds 411 views",Bilata,411,413,2
11,"ብላታ ጥያቄና መልስ: 03 | ይመልሱ! ይሸለሙ! by Bilata 9 months ago 4 minutes, 22 seconds 465 views",Bilata,465,467,2
12,"ኢትዮጵያዊነት በአንድ ገበታ፡ የኢትዮጵያ ሳምንት | The First Ethiopian Week Celebration by Bilata 9 months ago 3 minutes, 13 seconds 877 views",Bilata,877,879,2
13,"ብላታ ጥያቄ 02 ፡- እንቆቅልሽ ምላሽ by Bilata 9 months ago 5 minutes, 34 seconds 608 views",Bilata,608,612,4
14,"ዲሽታግና በደቡቧ ፈርጥ | ‘DishtaGena’ by Southern Ethiopia’s Master Of Celebrity by Bilata 9 months ago 4 minutes, 14 seconds 72,814 views",Bilata,72814,72838,24
15,"ብላታ ጥያቄና መልስ: 02 | ይመልሱ! ይሸለሙ! by Bilata 9 months ago 4 minutes, 10 seconds 241 views",Bilata,241,242,1
16,"ብላታ ጥያቄ 01 ፡- ሰምና ወርቅ ምላሽ by Bilata 9 months ago 6 minutes, 25 seconds 351 views",Bilata,351,365,14
17,"ብላታ ጥያቄና መልስ: 01 | ይመልሱ! ይሸለሙ! by Bilata 9 months ago 3 minutes, 48 seconds 782 views",Bilata,782,783,1
18,በዚህ የለም፤ ተነስቷል | ሉቃስ 24፤ 6 -7 by Bilata 10 months ago 11 seconds 211 views,Bilata,211,213,2
19,"THE HISTORY OF ADWA - የአድዋ ታሪክ by Bilata 11 months ago 5 minutes, 34 seconds 615 views",Bilata,615,652,37
20,"ADWA COLLECTION by Bilata 11 months ago 2 hours, 14 minutes 489 views",Bilata,489,497,8
21,"125th ADWA Victory day celebration - Addis Abeba,2021 by Bilata 11 months ago 9 minutes, 22 seconds 789 views",Bilata,789,830,41
22,"Ethiopia: የ2013 የጥምቀት በዓል ትውስታዎች | Timket Stories 2021 by Bilata 1 year ago 2 minutes, 49 seconds 864 views",Bilata,864,865,1
23,Ethiopia: ለጥምቀት ያልሆነ ቀሚስ by Bilata 1 year ago 1 minute 593 views,Bilata,593,595,2
24,"Timket 2013- የወሎ ራያ ጭፈራ በአዲስ አበባ ጎዳናዎች by Bilata 1 year ago 1 minute, 39 seconds 15,689 views",Bilata,15689,15695,6
25,Ethiopian Epiphany Hymn 2021 G.C | ከጃን ሜዳ እስከ ቅድስተ ማርያም ቤተክርስቲያን የታቦት ሽኝት by Bilata 1 year ago 5 minutes 243 views,Bilata,243,244,1
26,"Ethiopian Epiphany Festivity 2021 | ጥምቀት በአዲስ አበባ 2013 ዓ/ም [ክፍል 3/3] [Part 3/3] by Bilata 1 year ago 1 minute, 8 seconds 567 views",Bilata,567,568,1
27,"Ethiopian Epiphany Festivity 2021 | ጥምቀት በአዲስ አበባ 2013 ዓ/ም [ክፍል 2/3] [Part 2/3] by Bilata 1 year ago 3 minutes, 28 seconds 208 views",Bilata,208,209,1
28,Bilata Entertainment | ብላታ ኢንተርቴይመን by Bilata 1 year ago 55 seconds 747 views,Bilata,747,750,3
29,"Ethiopian Epiphany Festivity  2021 | ጥምቀት በአዲስ አበባ 2013 ዓ/ም [ክፍል 1/3] [Part 1/3] by Bilata 1 year ago 5 minutes, 1 second 254 views",Bilata,254,255,1
30,የጥምቀት በአል የቀጥታ ስርጭት ከጃንሜዳ by Bilata 1 year ago 20 seconds 217 views,Bilata,217,219,2
