,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Ethiopian Music : Dawit Tsige  ዳዊት ፅጌ Yene Zema  (የኔ ዜማ) - New  2020 (Official Video Music) by Cultural Ethiopian Music Channel 1 year ago 4 minutes, 34 seconds 4,593 views",Cultural Ethiopian Music Channel,4593,4644,51
1,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ Degemo Bezih Lay (ደግሞ በዚህ ላይ) - New 2020 (Official Video Music) by Cultural Ethiopian Music Channel 1 year ago 4 minutes, 39 seconds 3,982 views",Cultural Ethiopian Music Channel,3982,4010,28
2,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ  Balageru 4  (ባላገሩ 4) -  New 2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 6 minutes, 49 seconds 3,065 views",Cultural Ethiopian Music Channel,3065,3072,7
3,"Ethiopian Music : Dawit Tsige  ዳዊት ፅጌ Etittu  (እትቱ)  -  New 2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 4 minutes, 37 seconds 2,234 views",Cultural Ethiopian Music Channel,2234,2244,10
4,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ Deha Aytala kewiha (ድሀ አይጣላ ከውሀ)-New2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 6 minutes, 24 seconds 2,055 views",Cultural Ethiopian Music Channel,2055,2100,45
5,"Ethiopian Music : Dawit Teige  ዳዊት ፅጌ Lebe Sew  (ልቤ ሰው) -  New  2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 5 minutes, 1 second 1,456 views",Cultural Ethiopian Music Channel,1456,1463,7
6,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ  Asmarino  (አስማሪኖ)  -  New 2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 6 minutes, 24 seconds 1,200 views",Cultural Ethiopian Music Channel,1200,1202,2
7,"Ethiopian Music : Dawit Teige  ዳዊት ፅጌ Dese Alegn  (ደስ አለኝ) - New 2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 5 minutes, 22 seconds 1,233 views",Cultural Ethiopian Music Channel,1233,1242,9
8,"Ethiopian Music : Dawit Tsige  ዳዊት ፅጌ  Yene yene ( የኔ የኔ) - New  2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 4 minutes, 23 seconds 1,762 views",Cultural Ethiopian Music Channel,1762,1786,24
9,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ Bayew Bayew (ባየው ባየው) - New 2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 5 minutes, 5 seconds 1,878 views",Cultural Ethiopian Music Channel,1878,1893,15
10,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ Chale Zendero (ቻለው ዘንድሮ) - New  2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 3 minutes, 53 seconds 1,650 views",Cultural Ethiopian Music Channel,1650,1661,11
11,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ Wude Wude (ውዴ ውዴ) -  New 2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 5 minutes, 35 seconds 2,855 views",Cultural Ethiopian Music Channel,2855,2870,15
12,"Ethiopian Music : Dawit Tsige  ዳዊት ፅጌ  Aschilosh  (አስችሎሽ) -  New  2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 6 minutes, 50 seconds 1,350 views",Cultural Ethiopian Music Channel,1350,1370,20
13,"Ethiopian Music : Dawit Tsige ዳዊት ፅጌ  Kale Kidan   (ቃል ኪዳን ) - New  2020 (Official Video Music) by Cultural Ethiopian Music Channel 2 years ago 5 minutes, 10 seconds 7,282 views",Cultural Ethiopian Music Channel,7282,7323,41
14,"Ethiopian Music : Mikaya Behailu ሚኪያ በሃይሉ Kebrara (ቀብራራ) - New 1999 (Official Video) by Cultural Ethiopian Music Channel 2 years ago 5 minutes, 31 seconds 1,001 views",Cultural Ethiopian Music Channel,1001,1008,7
15,"Ethiopian Music :  Mikaya Behailu ሚኪያ በሃይሉ Zorie Metahu (ዞሬ መጣሁ) - New 1999 (Official Video) by Cultural Ethiopian Music Channel 2 years ago 6 minutes, 10 seconds 929 views",Cultural Ethiopian Music Channel,929,930,1
16,"Ethiopian Music : Mikaya Behailu ሚኪያ በሃይሉ Delelegne (ደለለኝ) - New 1999 (Official Video) by Cultural Ethiopian Music Channel 2 years ago 5 minutes, 32 seconds 2,917 views",Cultural Ethiopian Music Channel,2917,3160,243
