,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,Ethiopian music non stop | by Dj daniel Derso by Dj Daniel 1 month ago 32 minutes 33 views,DJ Daniel,33,38,5
1,"ethiopia new music 2022 | Mix by Dj Daniel Derso by Dj Daniel 1 month ago 1 hour, 4 minutes 79 views",DJ Daniel,79,84,5
2,ETHIOPIAN full MIX BEST MUSIC by Dj Daniel Derso by Dj Daniel 2 months ago 53 minutes 58 views,DJ Daniel,58,59,1
3,"Getnet & Bekalu @bro Embign Ale | እምብኝ አለ by Dj Daniel 2 months ago 5 minutes, 59 seconds 31 views",DJ Daniel,31,33,2
4,"Mngedegaw lbe | Mixes Dj Daniel Derso by Dj Daniel 1 year ago 5 minutes, 46 seconds 153 views",DJ Daniel,153,153,0
5,"Birhan Wubaye | Tenes Belew by Dj Daniel 1 year ago 4 minutes, 43 seconds 84 views",DJ Daniel,84,85,1
6,"Belayneh Fenta | Meta Meta Mix by Dj Daniel Derso by Dj Daniel 1 year ago 4 minutes, 18 seconds 181 views",DJ Daniel,181,183,2
7,"Tade Philo   Ere Marekechign  | ኧረ ማረከችኝ Mix by Dj Daniel Derso by Dj Daniel 1 year ago 6 minutes, 5 seconds 423 views",DJ Daniel,423,430,7
8,"Bazu Man (Ye Dejen Lej) Mixed By Daniel Derso by Dj Daniel 1 year ago 2 minutes, 30 seconds 157 views",DJ Daniel,157,160,3
9,"Hayleyesus Feyssa | ፍቅር ተወደደ Dj Daniel Derso by Dj Daniel 1 year ago 3 minutes, 20 seconds 523 views",DJ Daniel,523,536,13
10,"Yeshiwas Ayana - Melkame Mix By Dj Daniel Derso by Dj Daniel 1 year ago 1 minute, 58 seconds 415 views",DJ Daniel,415,434,19
11,"Mekdes Teshome Embiyew | እምቢየው by Dj Daniel 1 year ago 4 minutes, 8 seconds 155 views",DJ Daniel,155,159,4
12,"Dj daniel Derso ethiopia music by Dj Daniel 1 year ago 6 minutes, 31 seconds 1,401 views",DJ Daniel,1401,1403,2
13,"Saba Mulugeta | Ethiopian New Music | Mix By Dj daniel Derso by Dj Daniel 1 year ago 5 minutes, 38 seconds 206 views",DJ Daniel,206,207,1
14,"Dj Daniel Desro | ዳንኤል ደርሶ by Dj Daniel 1 year ago 4 minutes, 43 seconds 165 views",DJ Daniel,165,167,2
15,"Tesfaye Adugna - Mamarw MIX by Dj dabiel Derso by Dj Daniel 1 year ago 2 minutes, 19 seconds 2,020 views",DJ Daniel,2020,2040,20
16,Birhanu Chala mix by Dj Daniel Derso by Dj Daniel 1 year ago 5 minutes 293 views,DJ Daniel,293,295,2
17,"Ehiopian Best music | Asheber Belay Bel Gitem by Dj Daniel 1 year ago 5 minutes, 2 seconds 280 views",DJ Daniel,280,280,0
18,"Amare Menberu  Abshir Beyign by Dj Daniel 2 years ago 5 minutes, 50 seconds 4,902 views",DJ Daniel,4902,4912,10
19,"Solomon Habte Dj #Daniel Derso by Dj Daniel 2 years ago 5 minutes, 12 seconds 293 views",DJ Daniel,293,295,2
20,"Fisseha Wedaj | Salayesh By Dj Daniel Mix by Dj Daniel 2 years ago 4 minutes, 50 seconds 317 views",DJ Daniel,317,318,1
21,"Dj Danuel derso by Dj Daniel 2 years ago 5 minutes, 7 seconds 175 views",DJ Daniel,175,176,1
22,"Bizuayew Berihun Best ethiopian music 2019 by Dj Daniel 2 years ago 5 minutes, 16 seconds 141 views",DJ Daniel,141,141,0
23,"Tigist Aschilegn - Des Yilegnal |+| Dj Daniel mix by Dj Daniel 2 years ago 2 minutes, 35 seconds 145 views",DJ Daniel,145,145,0
24,"ዲጄ ዳናኤል ደርሶ 058-417-3217 by Dj Daniel 2 years ago 3 minutes, 31 seconds 232 views",DJ Daniel,232,232,0
25,"Semahegn Belew mix by Dj Daniel Derso by Dj Daniel 2 years ago 2 minutes, 53 seconds 697 views",DJ Daniel,697,701,4
26,"Alex Anteneh ከዲጄ ዳኔል by Dj Daniel 2 years ago 2 minutes, 38 seconds 97 views",DJ Daniel,97,103,6
27,"Mekdes Zewdu | Best Raya music by Dj Daniel Derso by Dj Daniel 2 years ago 4 minutes, 51 seconds 1,619 views",DJ Daniel,1619,1660,41
28,"DJ Daniel 058-417-3217 by Dj Daniel 2 years ago 1 minute, 18 seconds 82 views",DJ Daniel,82,82,0
29,Ethiopian best music 2020 by Dj Daniel 2 years ago 3 minutes 131 views,DJ Daniel,131,131,0
30,"Selamawit Yohannes | mix by Dj Daniel Derso by Dj Daniel 3 years ago 2 minutes, 21 seconds 268 views",DJ Daniel,268,269,1
31,"DJ Daniel די ג'יי דניאל ዲጄ ዳንኤል by Dj Daniel 3 years ago 1 minute, 31 seconds 149 views",DJ Daniel,149,149,0
32,"Tesfaye adugna - balaye by Dj Daniel Derso by Dj Daniel 3 years ago 4 minutes, 41 seconds 7,169 views",DJ Daniel,7169,7242,73
33,"Zenebe Worku - Man Zim Yilal | ማን ዝም ይላል by Dj Daniel 3 years ago 4 minutes, 6 seconds 805 views",DJ Daniel,805,805,0
34,"Dj Daniel Derso 058-417-3217 by Dj Daniel 3 years ago 5 minutes, 50 seconds 640 views",DJ Daniel,640,641,1
