,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,Ethiopian music non stop | by Dj daniel Derso by Dj Daniel 1 month ago 32 minutes 33 views,DJ Daniel,33,38,5
1,"ethiopia new music 2022 | Mix by Dj Daniel Derso by Dj Daniel 1 month ago 1 hour, 4 minutes 79 views",DJ Daniel,79,84,5
2,ETHIOPIAN full MIX BEST MUSIC by Dj Daniel Derso by Dj Daniel 2 months ago 53 minutes 58 views,DJ Daniel,58,59,1
3,"Getnet & Bekalu @bro Embign Ale | እምብኝ አለ by Dj Daniel 2 months ago 5 minutes, 59 seconds 31 views",DJ Daniel,31,33,2
4,"Mngedegaw lbe | Mixes Dj Daniel Derso by Dj Daniel 1 year ago 5 minutes, 46 seconds 153 views",DJ Daniel,153,153,0
5,"Birhan Wubaye | Tenes Belew by Dj Daniel 1 year ago 4 minutes, 43 seconds 84 views",DJ Daniel,84,85,1
6,"Belayneh Fenta | Meta Meta Mix by Dj Daniel Derso by Dj Daniel 1 year ago 4 minutes, 18 seconds 181 views",DJ Daniel,181,183,2
7,"Tade Philo   Ere Marekechign  | ኧረ ማረከችኝ Mix by Dj Daniel Derso by Dj Daniel 1 year ago 6 minutes, 5 seconds 423 views",DJ Daniel,423,430,7
8,"Bazu Man (Ye Dejen Lej) Mixed By Daniel Derso by Dj Daniel 1 year ago 2 minutes, 30 seconds 157 views",DJ Daniel,157,160,3
9,"Hayleyesus Feyssa | ፍቅር ተወደደ Dj Daniel Derso by Dj Daniel 1 year ago 3 minutes, 20 seconds 523 views",DJ Daniel,523,536,13
10,"Yeshiwas Ayana - Melkame Mix By Dj Daniel Derso by Dj Daniel 1 year ago 1 minute, 58 seconds 415 views",DJ Daniel,415,434,19
11,"Mekdes Teshome Embiyew | እምቢየው by Dj Daniel 1 year ago 4 minutes, 8 seconds 155 views",DJ Daniel,155,159,4
12,"Dj daniel Derso ethiopia music by Dj Daniel 1 year ago 6 minutes, 31 seconds 1,401 views",DJ Daniel,1401,1403,2
