,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Saba Getenet - Beza (በዛ) [NEW! Ethiopian Music Video 2017] by DireTube Music 4 years ago 6 minutes, 3 seconds 40,824 views",DireTube Music,"40,824","40,975",151
1,"Abel Samuel - Yenegat Dersan [NEW! Ethiopian Music Video 2017] by DireTube Music 4 years ago 4 minutes, 45 seconds 16,844 views",DireTube Music,"16,844","16,908",64
2,"Biniam Belay aka Bini Boy [NEW! Ethiopian Music Video 2017] OFFICIAL VIDEO by DireTube Music 4 years ago 6 minutes, 21 seconds 8,444 views",DireTube Music,"8,444","8,493",49
3,"BG Man - ZenaFeta Bey (ዘና ፈታ በይ) - NEW! Ethiopian Music Video 2017 BefikaduZenaFetaBey by DireTube Music 4 years ago 4 minutes, 23 seconds 5,507 views",DireTube Music,"5,507","5,541",34
4,"Ethiopia - Yonas Aschalew Shenen Beli [NEW Ethiopian Music 2017] Official Video by DireTube Music 4 years ago 5 minutes, 20 seconds 5,351 views",DireTube Music,"5,351","5,365",14
5,"Embeza Sebhatleab - Weyzerit Tigray [NEW! Music Video 2017] by DireTube Music 4 years ago 7 minutes, 8 seconds 47,104 views",DireTube Music,"47,104","47,378",274
6,"Ethiopia: Fedlu Hiyar - Bolecha (ቦለቻ) - NEW! Ethiopian Music Video 2017 by DireTube Music 4 years ago 6 minutes, 21 seconds 20,267 views",DireTube Music,"20,267","20,381",114
7,"NEFSIH TEDDY X by DireTube Music 5 years ago 5 minutes, 55 seconds 1,711 views",DireTube Music,"1,711","1,716",5
8,"Getahun Ketema - Beshenena (በሸነና) New Ethiopian Music Video 2016 by DireTube Music 5 years ago 4 minutes, 14 seconds 46,881 views",DireTube Music,"46,881","46,912",31
9,"Mele Zan Jar - Jiraf (ጅራፍ) New Ethiopian Reggae Music Video 2016 by DireTube Music 6 years ago 3 minutes, 43 seconds 6,963 views",DireTube Music,"6,963","6,977",14
10,"Neba Yo - Adwa - New Ethiopian Music 2016 by DireTube Music 6 years ago 4 minutes, 25 seconds 2,821 views",DireTube Music,"2,821","2,824",3
11,"Remedan Chimesa - Irrikum (እሪኩም) New Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 5 minutes, 35 seconds 155,763 views",DireTube Music,"155,763","156,163",400
12,"Afrobika Totoba - Askome (አስኮሜ) New Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 4 minutes, 57 seconds 5,642 views",DireTube Music,"5,642","5,660",18
13,"Abera Werku - Garri Garam (ገሪ ገራመ) New Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 6 minutes, 53 seconds 17,344 views",DireTube Music,"17,344","17,361",17
14,"Exien Girma - Min Libelew (ምን ልበለው) - New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 33 seconds 4,210 views",DireTube Music,"4,210","4,217",7
15,"Teddy X - Tseliy (ፀልይ) - New Ethiopian song 2016 by DireTube Music 6 years ago 4 minutes, 36 seconds 4,170 views",DireTube Music,"4,170","4,178",8
16,"Teddy X - Deha Negn (ድሀ ነኝ) - New Ethiopian Music Video 2016 by DireTube Music 6 years ago 6 minutes, 13 seconds 8,165 views",DireTube Music,"8,165","8,178",13
17,"Debebe Adame - Sebonti (ሰቦንቲ) Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 5 minutes, 11 seconds 745,350 views",DireTube Music,"745,350","749,763",4413
18,"Debebe Ademe - Sumeya (ሱሜያ) New Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 5 minutes, 32 seconds 957,571 views",DireTube Music,"957,571","968,128",10557
19,"Neba Yo - Bemata (በማታ) New Ethiopian Music 2016 by DireTube Music 6 years ago 5 minutes, 29 seconds 5,715 views",DireTube Music,"5,715","5,722",7
20,"Adam Mohammed - Kuullolaa (ኩሎላ) New Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 6 minutes, 20 seconds 72,371 views",DireTube Music,"72,371","73,140",769
21,"Tofiq Abdella - Oromia (ኦሮሚያ) New Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 4 minutes, 10 seconds 3,589 views",DireTube Music,"3,589","3,598",9
22,"Assefa Yadesa - Dharraa Jaalalaa - Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 6 minutes, 6 seconds 2,436 views",DireTube Music,"2,436","2,447",11
23,"Dereje Delelegn Bemin Kal Lasredash (በምን ቃል ላስረዳሽ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 54 seconds 68,013 views",DireTube Music,"68,013","68,061",48
24,"Desalegn Berhanu - Wede (ውዴ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 51 seconds 12,440 views",DireTube Music,"12,440","12,477",37
25,"Smizz Mayle - Markognal (ማርኮኛል) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 6 minutes, 56 seconds 22,952 views",DireTube Music,"22,952","22,962",10
26,"Yiftusera Zerihun - Bos Bos (ቦስ ቦስ) New Ethiopian Gamo Music Video 2016 by DireTube Music 6 years ago 5 minutes, 12 seconds 24,095 views",DireTube Music,"24,095","24,115",20
27,"Mekonnen Asefa - Yeamlak Sitotaye (የአምላክ ስጦታዬ) - New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 56 seconds 3,597 views",DireTube Music,"3,597","3,607",10
28,"Khalid - Real Deal - New Ethiopian Hip Hop 2016 by DireTube Music 6 years ago 3 minutes, 59 seconds 2,889 views",DireTube Music,"2,889","2,892",3
29,"Abraham Nigussie - Yater (ያጤር) New Sudanese Music 2016 by DireTube Music 6 years ago 4 minutes, 32 seconds 9,275 views",DireTube Music,"9,275","9,293",18
30,"Kebe Bekele - Shimbra (ሽምብራ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 27 seconds 60,163 views",DireTube Music,"60,163","60,169",6
31,"Lencho Gudina - Beredu Oromo (በሬዱ ኦሮሞ) New Ethiopian, Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 5 minutes, 42 seconds 59,321 views",DireTube Music,"59,321","59,346",25
32,"Semahegn Asfaw - Nesh Lene (ነሽ ለኔ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 41 seconds 15,333 views",DireTube Music,"15,333","15,346",13
33,"Semahegn Asfaw - Beya Neya (በያ ነያ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 5 minutes, 39 seconds 28,102 views",DireTube Music,"28,102","28,109",7
34,"Mele Zan Jar - Mejajale (መጃጃሌ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 13 seconds 4,550 views",DireTube Music,"4,550","4,561",11
35,"Mele Zan Jar - Sheshalew (ሸሻለው) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 11 seconds 7,134 views",DireTube Music,"7,134","7,162",28
36,"Luwam Teame - Gidefeni (ግደፈኒ) New Ethiopian Tigrigna Music Video 2016 by DireTube Music 6 years ago 6 minutes, 13 seconds 37,181 views",DireTube Music,"37,181","37,225",44
37,"Halima Abdurahman ft. Jah Lud - Esikalehu - New Ethiopian Music Video 2016 by DireTube Music 6 years ago 5 minutes, 18 seconds 229,549 views",DireTube Music,"229,549","229,611",62
38,"C. A. N Squad - Enat (እናት) - New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 4 seconds 3,746 views",DireTube Music,"3,746","3,748",2
39,"Muchot Hagos - Haqena Fikri (ሀቅና ፍቅሪ) New Ethiopian Tigrigna Music Video 2016 by DireTube Music 6 years ago 4 minutes, 7 seconds 3,358 views",DireTube Music,"3,358","3,371",13
40,"Muchot Hagos - Temelesi (ተመለሲ) New Ethiopian Tigrigna Music Video 2016 by DireTube Music 6 years ago 3 minutes, 58 seconds 6,317 views",DireTube Music,"6,317","6,324",7
41,"Temesgen & kasahun GIBE 3 2015 Ethiopian Music by DireTube Music 6 years ago 4 minutes, 26 seconds 849 views",DireTube Music,849,852,3
42,"Habaaboo Bashaaduu - Deemsa Karaa Dheeraa - Afaan Oromoo Music Video 2016 by DireTube Music 6 years ago 5 minutes, 12 seconds 398,364 views",DireTube Music,"398,364","399,153",789
43,"Ibrahim Roba - Doorii (ዶሪ) New Afaan Oromoo Karrayyu Music Video 2016 by DireTube Music 6 years ago 5 minutes, 57 seconds 27,180 views",DireTube Music,"27,180","27,305",125
44,"Tinsu Ragga - Askewtew Dj - New Ethiopian Music Video 2016 by DireTube Music 6 years ago 3 minutes, 21 seconds 2,915 views",DireTube Music,"2,915","2,916",1
45,"Smizz Mayle -  Anchin Bicha (አንቺን ብቻ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 6 minutes, 26 seconds 4,124 views",DireTube Music,"4,124","4,127",3
46,"Habl Tiruneh - Yikerta (ይቅርታ) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 28 seconds 22,400 views",DireTube Music,"22,400","22,434",34
47,"Haftom Gidey - Kimem Emurey (ቅመም እሙረይ) New Tigrigna Music Video 2016 by DireTube Music 6 years ago 5 minutes, 15 seconds 5,405 views",DireTube Music,"5,405","5,412",7
48,"Neba Yo /Fano Boyz/ - Liyu (ልዩ) New Music Clip 2016 - Ethiopia by DireTube Music 6 years ago 3 minutes, 13 seconds 3,198 views",DireTube Music,"3,198","3,199",1
49,"Habl Tiruneh - Afkari New (አፍቃሪ ነው) New Ethiopian Music Video 2016 by DireTube Music 6 years ago 4 minutes, 33 seconds 5,644 views",DireTube Music,"5,644","5,652",8
50,"Yared Atlaw - Cher Temegn (ቸር ተመኝ ) New Ethiopian Music 2016 by DireTube Music 6 years ago 5 minutes, 34 seconds 5,598 views",DireTube Music,"5,598","5,599",1
51,"Ethiopia: African Dance by Lasta Dance Crew by DireTube Music 6 years ago 6 minutes, 34 seconds 5,589 views",DireTube Music,"5,589","5,592",3
52,"Tekletsion Gebremeskel - Ketsawtekumye (ከፃውተኩም’የ) New Tigrigna Traditional Music Video 2016 by DireTube Music 6 years ago 10 minutes, 9 seconds 337,019 views",DireTube Music,"337,019","337,947",928
53,"Haile Tilaye - Geday Nesh (ገዳይ ነሽ) New Ethiopian Traditional Music Video 2016 by DireTube Music 6 years ago 5 minutes, 53 seconds 10,450 views",DireTube Music,"10,450","10,459",9
