,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"ela tv - Haileab Gebreluul - Kemaki'ye New Eritrean Music 2022 - (Official Music Video) by ELLA RECORDS 4 days ago 5 minutes, 59 seconds 9,169 views",ELLA RECORDS,9169,13590,4421
1,"ela tv - Tesfalem Zeray - ማዕዶ ረኣዪ - New Eritrean Music 2022 - ( official Music video ) by ELLA RECORDS 1 month ago 4 minutes, 59 seconds 23,360 views",ELLA RECORDS,23360,24493,1133
2,"ela tv - Dawit Yemane - Luley Kalyo - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 2 months ago 4 minutes, 27 seconds 14,069 views",ELLA RECORDS,14069,14359,290
3,"ela tv - Sied Salm - Wedi Salm - Kubuda - New Eritrean Music 2021 - ( Official Video) - Tigre Music by ELLA RECORDS 2 months ago 6 minutes, 37 seconds 53,867 views",ELLA RECORDS,53867,55359,1492
4,"ela tv - Miriam Mulgeta - Mary - Nmker - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 2 months ago 5 minutes, 14 seconds 82,382 views",ELLA RECORDS,82382,83390,1008
5,"ela tv - Romodan Shifa | Wedi Shifa - Asmara | ኣስመራ - New Eritrean Music 2021 - (Official Video) by ELLA RECORDS 2 months ago 5 minutes, 37 seconds 67,054 views",ELLA RECORDS,67054,67768,714
6,"ela tv - Efrem G/hiwet - Kinrakeb Ena - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 2 months ago 5 minutes 37,359 views",ELLA RECORDS,37359,37746,387
7,"ela tv - Salh Mohammed - Neju - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 2 months ago 6 minutes, 21 seconds 21,869 views",ELLA RECORDS,21869,21989,120
8,"ela tv - Million Eshetu - Klamedo - New Tigrinia Music 2021 - ( Official Music Video ) by ELLA RECORDS 3 months ago 6 minutes, 54 seconds 487,563 views",ELLA RECORDS,487563,501076,13513
9,"ela tv - Million Eshetu - Klamedo - ሚሊዮን እሸቱ - ክላመዶ - New Tigrinia Music 2021 - Coming Soon by ELLA RECORDS 3 months ago 1 minute, 32 seconds 29,756 views",ELLA RECORDS,29756,29888,132
10,"ela tv - Hermon Argay - Haba - Qne Beli - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 3 months ago 6 minutes, 21 seconds 22,579 views",ELLA RECORDS,22579,22702,123
11,"ela tv - Tesfit T/brhan | Brchle - Wehoy Belyo - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 3 months ago 5 minutes, 20 seconds 7,669 views",ELLA RECORDS,7669,7739,70
12,"ela tv - Murad Fshaye - Menkor'ta - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 3 months ago 6 minutes, 20 seconds 12,302 views",ELLA RECORDS,12302,12361,59
13,"ela tv - Ykalo Beyn - Korya - Gila Fikri - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 3 months ago 5 minutes, 38 seconds 38,634 views",ELLA RECORDS,38634,38794,160
14,"ela tv - Msgna Desale - Montorbo - Welelay - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 4 months ago 4 minutes, 33 seconds 16,712 views",ELLA RECORDS,16712,16785,73
15,"ela tv - Daniel Fikare - Lela - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 4 months ago 4 minutes, 22 seconds 45,356 views",ELLA RECORDS,45356,45781,425
16,"ela tv - Hana Getachew - Hany G - Endet Chalkew - New Ethiopian Music 2021 - (Official Music Video) by ELLA RECORDS 4 months ago 4 minutes, 11 seconds 39,278 views",ELLA RECORDS,39278,40235,957
17,"ela tv - Tigist Anteneh - Sayih - New Ethiopian Music 2021 - ( Official Music Video ) by ELLA RECORDS 4 months ago 4 minutes, 5 seconds 25,725 views",ELLA RECORDS,25725,26097,372
18,"ela tv - Noad Andemariam - Aytdkem - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 5 months ago 4 minutes, 57 seconds 23,104 views",ELLA RECORDS,23104,23149,45
19,"ela tv - Yonas Yohannes - Debae - Bado - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 5 months ago 4 minutes, 9 seconds 71,170 views",ELLA RECORDS,71170,85370,14200
20,"ela tv - Abdela Mohammed - Yba  - Delina - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 5 months ago 3 minutes, 41 seconds 18,306 views",ELLA RECORDS,18306,18401,95
21,"ela tv - Mussie Berhe - Mberwel - Kethall - New Eritrean Music 2021 - Remix with English subtitle by ELLA RECORDS 5 months ago 7 minutes, 9 seconds 28,812 views",ELLA RECORDS,28812,28864,52
22,"ela tv - Wegahta Brhane - Mnasey Gn Adey - New Eritrean Music 2021 - (Official Music Video) by ELLA RECORDS 5 months ago 5 minutes, 14 seconds 50,814 views",ELLA RECORDS,50814,50958,144
23,"ela tv - Japan G/hiwet ft - Bereket Meles - Nlale - New Eritrean Music 2021 -   ( Official Video ) by ELLA RECORDS 5 months ago 6 minutes, 15 seconds 58,728 views",ELLA RECORDS,58728,58896,168
24,"ela tv - Amanuel G/medhin - Amazon - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 5 months ago 6 minutes, 17 seconds 385,029 views",ELLA RECORDS,385029,388091,3062
25,"ela tv - Tesfit G/eyesus - Zbaney - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 5 months ago 5 minutes, 42 seconds 12,188 views",ELLA RECORDS,12188,12239,51
26,"ela tv - Haben Kflay - Kxbe'ye | ኽጽበ' የ - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 5 months ago 5 minutes, 2 seconds 19,089 views",ELLA RECORDS,19089,19225,136
27,"ela tv - Resom Mebrahtu - Ayregmekn - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 6 months ago 6 minutes, 22 seconds 21,877 views",ELLA RECORDS,21877,21948,71
28,"ela tv - Teklit Kidane  | ስንጥቅ ኢለ - Aynitelalem | ኣይንጠላለም - New Eritrean Music 2021 by ELLA RECORDS 6 months ago 4 minutes, 45 seconds 15,811 views",ELLA RECORDS,15811,15849,38
29,"ela tv - Silvana Mehari - Tsilaley - New Eritrean Music 2021 - ( Official Music Video ) by ELLA RECORDS 6 months ago 4 minutes, 18 seconds 486,296 views",ELLA RECORDS,486296,490155,3859
