,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Melat Code - Addis Ababa | አዲስ አበባ - New Ethiopian Music 2021(Official Video) by East African Media 6 months ago 6 minutes, 46 seconds 464,639 views",East African Media,"464,639","478,399",13760
1,"Genet Abate - Yinegera | ይነገራ New Ethiopian Music 2019 (Official Video) by East African Media 2 years ago 5 minutes, 51 seconds 290,059 views",East African Media,"290,059","294,036",3977
2,"Betty - Dankira  Anuregn |  አኑረኝ  New Ethiopian Music 2019 by East African Media 2 years ago 6 minutes, 57 seconds 345,428 views",East African Media,"345,428","345,999",571
3,"New Ethiopian Music 2019 - Tsion Aseffa (NINI) - Sumaliye | ሱማሊየ Somali Song by East African Media 2 years ago 4 minutes, 11 seconds 1,847,753 views",East African Media,"1,847,753","1,869,830",22077
4,"Betelhem Dagnachew- Yinegal [ ይነጋል]  - New Ethiopian Music 2018 (official Music) by East African Media 3 years ago 6 minutes, 15 seconds 157,987 views",East African Media,"157,987","158,173",186
5,"Seble Tadesse - Yene Konjo | የኔ ቆንጆ -  New Ethiopian Song 2018 by East African Media 3 years ago 4 minutes, 14 seconds 64,082 views",East African Media,"64,082","64,154",72
6,"Seble Tadesse - Atachenankegn  New Ethiopian Song 2018 by East African Media 3 years ago 4 minutes, 46 seconds 63,018 views",East African Media,"63,018","63,111",93
7,"Zelalem Yonas - MelaMela (መላ መላ)- New Ethiopian Music 2018 by East African Media 3 years ago 3 minutes, 48 seconds 177,209 views",East African Media,"177,209","177,566",357
8,"Seble Tadesse - Gondere | ጎንደሬ  New Ethiopian Song 2018 by East African Media 4 years ago 4 minutes, 32 seconds 33,033 views",East African Media,"33,033","33,068",35
9,"Genet Kiros - Hbubey | ህቡበይ - New Ethiopian Tigirigna Music 2018 by East African Media 4 years ago 4 minutes, 49 seconds 147,417 views",East African Media,"147,417","147,541",124
10,"Meskerem Abebe - Mar Neh Mariye | ማር ነህ ማርዬ - New Ethiopian Music 2018 by East African Media 4 years ago 5 minutes, 28 seconds 64,412 views",East African Media,"64,412","64,461",49
11,"Seble Tadesse - Wawyee | ዋውዬ - New Ethiopian Music 2017/ 2018 by East African Media 4 years ago 5 minutes, 20 seconds 382,272 views",East African Media,"382,272","384,328",2056
12,"Tinsae Gubena - Gudu Kassa | ጉዱ ካሳ - New Ethiopian Music 2017 Official by East African Media 4 years ago 6 minutes, 27 seconds 39,640 views",East African Media,"39,640","39,688",48
13,"Mistre Yonas ft JINO - Ewlo Teykegn - New Ethiopian Music 2017 by East African Media 4 years ago 5 minutes, 9 seconds 68,765 views",East African Media,"68,765","68,805",40
14,"Ashenafi Abebe -Melkekena | መልከቀና - New Ethiopian Music 2017 by East African Media 4 years ago 4 minutes, 58 seconds 379,820 views",East African Media,"379,820","380,115",295
15,"Deme Lula - Dunbulkea | ድንቡልኬ - New Ethiopian Music 2017 (Official Video) by East African Media 4 years ago 4 minutes, 41 seconds 99,490 views",East African Media,"99,490","99,647",157
16,"Befkadu Yadete (Befi yad) - Nimaje | ንማጀ - New Ethiopian Music 2017 by East African Media 4 years ago 5 minutes, 32 seconds 117,658 views",East African Media,"117,658","118,491",833
17,"Melat Code - Demam Konjo - New Ethiopian Music 2017 (Official Video) by East African Media 4 years ago 6 minutes, 51 seconds 2,871,799 views",East African Media,"2,871,799","2,885,554",13755
18,"Mulugeta Alemu - kiterign | ቅጠሪኝ - New Ethiopian music 2017 by East African Media 4 years ago 4 minutes, 26 seconds 168,646 views",East African Media,"168,646","168,669",23
19,"Shime Mesh - Anchiye - New Ethiopian Music 2017 by East African Media 4 years ago 4 minutes, 39 seconds 399,344 views",East African Media,"399,344","399,417",73
20,"Seble Tadesse - Yefikir Awaj / የፍቅር ኣዋጅ New Ethiopian Music 2017 by East African Media 4 years ago 5 minutes, 20 seconds 890,506 views",East African Media,"890,506","890,719",213
21,"Michael Melaku - Wanado - New Ethiopian Music 2017 by East African Media 4 years ago 5 minutes, 1 second 1,183,629 views",East African Media,"1,183,629","1,185,044",1415
22,"New Ethiopian Music 2017 - Efrem Ayzohbelew - Endalay - New Music Video by East African Media 5 years ago 5 minutes, 33 seconds 4,975,023 views",East African Media,"4,975,023","4,993,520",18497
23,"Ethiopian Music  - Tsinat Lisanu - Teregagi [ተረጋጊ]- New Music Video 2016 by East African Media 5 years ago 8 minutes, 7 seconds 6,768,084 views",East African Media,"6,768,084","6,796,013",27929
24,"Ethiopian Music 2016  - Tsinat Lisanu - Ayen Ayenhin - new music video by East African Media 5 years ago 4 minutes, 42 seconds 765,710 views",East African Media,"765,710","766,861",1151
25,"New ethiopian Music 2016 - Melat Code - Degagmegn - Official Music Video by East African Media 6 years ago 5 minutes, 17 seconds 1,426,264 views",East African Media,"1,426,264","1,427,227",963
