,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"EBC Prime Minister Hailemariam Desalegn has Resigned ሰበር ዜና  ጠ ሚ ኃይለማርያም ደሳለኝ ከኢህአዴግ ሊቀመንበርነትና ከጠቅላይ by ethio channel 4 years ago 7 minutes, 22 seconds 6,484 views",ethio channel,6484,6484,0
1,"Natnael Tesfaye new 2014 music ""Dancha"" by ethio channel 7 years ago 5 minutes, 48 seconds 399 views",ethio channel,399,399,0
2,"Fikadu Tasew (Aze) - Weyne-New 2014 Amharic Song by ethio channel 7 years ago 4 minutes, 22 seconds 1,956 views",ethio channel,1956,1963,7
3,"Kaleb Araya (Afarye Haye) 2014 New Ethiopian Music by ethio channel 7 years ago 9 minutes 7,843 views",ethio channel,7843,7846,3
4,"Siti Pawlos  Lusi  Hot New Ethiopian Music  2014 Wey Na Na, by ethio channel 7 years ago 4 minutes, 18 seconds 963 views",ethio channel,963,963,0
5,"New 2014 Ethiopian Music - When you smile by Sossi by ethio channel 8 years ago 4 minutes, 45 seconds 1,094 views",ethio channel,1094,1094,0
6,"New 2014 Ethiopian Music - (ማንዴላ) Mandela - Micky Zerihun (micky z) by ethio channel 8 years ago 4 minutes, 44 seconds 1,121 views",ethio channel,1121,1122,1
7,"AKURI DEGEFA -ENKA TEBYE ETHIOPIAN 2005 NEW MUSIC by ethio channel 8 years ago 4 minutes, 31 seconds 1,659 views",ethio channel,1659,1662,3
8,"Tsehaye Welde and Anteneh Worku-Yibka sidet, New 2013 song by ethio channel 8 years ago 4 minutes, 19 seconds 1,999 views",ethio channel,1999,1999,0
9,"Demelash Niguse (Deme Lula) VCD Advert by ethio channel 8 years ago 1 minute, 8 seconds 2,116 views",ethio channel,2116,2116,0
10,"Temesgen G/Egziabher live concert in Berut by ethio channel 8 years ago 7 minutes, 48 seconds 131,983 views",ethio channel,131983,132052,69
11,"""Tilahun Elfeneh "" New 2013 Commedy Music ""Ancherecheregn"" by ethio channel 8 years ago 6 minutes, 25 seconds 4,506 views",ethio channel,4506,4508,2
12,"atklti by ethio channel 8 years ago 5 minutes, 24 seconds 1,126 views",ethio channel,1126,1126,0
13,"Bezawit Getachew-New 2005 - Shelmegn-(Official Music Video) by ethio channel 9 years ago 4 minutes, 59 seconds 8,125 views",ethio channel,8125,8136,11
14,"Tewodros Demisse (Teddy Fiesta) (Ale Yemilew) (Official Music Video) by ethio channel 9 years ago 5 minutes, 4 seconds 495 views",ethio channel,495,495,0
15,"ATAKLTI AMARE - CHAHEMAYE( NEW DEC 2012 release) by ethio channel 9 years ago 5 minutes, 35 seconds 10,981 views",ethio channel,10981,11024,43
16,"Tewodros Demisse (Teddy Fiesta)-New 2012- (Ye-Wello Lije) (Official Music Video) by ethio channel 9 years ago 5 minutes, 6 seconds 1,683 views",ethio channel,1683,1683,0
17,"Selamawit Gebru New-2012 - Sew Mewded-(Official Music Video) by ethio channel 9 years ago 11 minutes, 5 seconds 2,379 views",ethio channel,2379,2379,0
18,"Bole Senior Secondary High School 2012's Prom King and Queen by ethio channel 9 years ago 7 minutes, 54 seconds 26,569 views",ethio channel,26569,26603,34
19,"Meaza Alemseged New 2012 - Nona (Official Music Video) by ethio channel 9 years ago 5 minutes, 8 seconds 1,170 views",ethio channel,1170,1171,1
20,"Bole Senior Secondary High School Prom Night June 11, 2012 @ Club Voltage by ethio channel 9 years ago 2 minutes, 52 seconds 11,149 views",ethio channel,11149,11161,12
21,"Gbilgn Nuradis Seid Jarigama 2013 NEW ETHIOPIAN MUSIC by Ethio melodies 8 years ago 6 minutes, 12 seconds 605,102 views",Ethio Melodies,605102,606714,1612
22,"Gbilgn Nuradis Jarigam by Ethio melodies 8 years ago 3 minutes, 25 seconds 15,616 views",Ethio Melodies,15616,15711,95
