,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Kaleab Kinfe | ቃልአብ ክንፈ (እቴ አምሳል) | (OFFICIAL LYRICS) New Ethiopian Music 2021 by Habesha Times 7 months ago 4 minutes, 49 seconds 3,083 views",Habesha Times,3083,3126,43
1,"Ethiopian Comedy - Comedian Tomas  Best Vine HD 2021 | ኮሜድያን ቶማስ by Habesha Times 7 months ago 8 minutes, 20 seconds 19,124 views",Habesha Times,19124,19756,632
2,"ለማመን የሚከብድ የተማሪዎች አስገራሚ ጭፈራ | Saint Joseph School by Habesha Times 10 months ago 15 minutes 2,605 views",Habesha Times,2605,2663,58
3,"Elias Teshome - Hode • ሆዴ • OFFICIAL LYRICS | New Ethiopian Music 2021 by Habesha Times 11 months ago 4 minutes, 15 seconds 2,486 views",Habesha Times,2486,2527,41
4,"Zebiba Girma x Mesay Tefera (አዲስ ፍቅር) | Official Lyrics | New Ethiopian Music 2021 by Habesha Times 1 year ago 4 minutes, 38 seconds 8,245 views",Habesha Times,8245,8300,55
5,"Hewan Gebrewold (Nana) | (Official Lyrics) New Ethiopian Music 2021 | ሔዋን ገብረወልድ (ናና) by Habesha Times 1 year ago 3 minutes, 22 seconds 21,383 views",Habesha Times,21383,21479,96
6,"Sara T - Yemimosherew | የምሞሸረው (Official Lyrics) Ethiopian Music 2021 by Habesha Times 1 year ago 3 minutes, 19 seconds 7,517 views",Habesha Times,7517,7552,35
7,"Mulualem Takele - Ameseginalew |  አመሰግናለው - (Official Lyrics) New Ethiopian Music 2021 by Habesha Times 1 year ago 4 minutes, 25 seconds 4,517 views",Habesha Times,4517,4606,89
8,"Ethiopian Comedy - Comedian Tomas  Best Vine HD 2021 | ኮሜድያን ቶማስ by Habesha Times 1 year ago 8 minutes, 54 seconds 118,132 views",Habesha Times,118132,118693,561
9,"Veronica Adane & Negestat - Abay Mado | አባይ ማዶ (Lyrics) | New Ethiopian Music 2021 by Habesha Times 1 year ago 4 minutes, 25 seconds 4,547 views",Habesha Times,4547,4572,25
10,"Burik - Bla Bla | ብላ ብላ (Lyrics) | New Ethiopian Music 2021 by Habesha Times 1 year ago 3 minutes, 32 seconds 17,989 views",Habesha Times,17989,18141,152
11,"Kaleab Kinfe (Wesnual) - ቃልአብ ክንፈ (ወስኗል) | Official Lyrics | New Ethiopian Music 2021 by Habesha Times 1 year ago 5 minutes, 25 seconds 12,747 views",Habesha Times,12747,12874,127
12,"Mekdes Girma - መቅደስ ግርማ (ተላምጄህ ነው) | (Official Lyrics) - New Ethiopian Music 2021 by Habesha Times 1 year ago 4 minutes, 50 seconds 8,987 views",Habesha Times,8987,9120,133
13,"Dag Daniel - Gonderewa | ጎንደሬዋ (Official Lyrics) | New Ethiopian Music 2021 by Habesha Times 1 year ago 3 minutes, 44 seconds 2,929 views",Habesha Times,2929,2979,50
14,"Haimanot Girma - Gid Nw | ሀይማኖት ግርማ (ግድ ነው) | New Ethiopian Music 2021 by Habesha Times 1 year ago 4 minutes, 4 seconds 19,709 views",Habesha Times,19709,19810,101
15,"Ali Birra & Abreham Belayneh (Official Lyrics) | አሊ ቢራ እና አብርሃም በላይነህ (ዳርም የለው) Music Lyrics 2021 by Habesha Times 1 year ago 5 minutes, 13 seconds 6,653 views",Habesha Times,6653,6694,41
16,"ይድነቃቸው ብርሀኑ (ሲያስባት) | Yidnekachew Birhanu (Siyasibat) | (Official Lyrics) by Habesha Times 1 year ago 5 minutes, 15 seconds 22,702 views",Habesha Times,22702,22965,263
