,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Beki Mean - Shiba | ሺባ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 21 hours ago 3 minutes, 24 seconds 16,418 views",Hope Music Entertainment,16418,45375,28957
1,"Fikru Alebachew - Alemye | አለምዬ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 day ago 5 minutes, 13 seconds 30,145 views",Hope Music Entertainment,30145,80536,50391
2,"Sami Na - Temechign | ተመችኝ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 2 days ago 5 minutes, 33 seconds 10,359 views",Hope Music Entertainment,10359,20884,10525
3,"Shimelis Berhanu - Wedjesh | ወድጀሽ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 3 days ago 5 minutes, 19 seconds 36,819 views",Hope Music Entertainment,36819,87259,50440
4,"Ezra X Stif Lion - Lalay Guma | ላላይ ጉማ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 4 days ago 3 minutes, 43 seconds 30,296 views",Hope Music Entertainment,30296,39000,8704
5,"Ek Mule - Man Amsh Alew | ማን አምሽ አለው - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 5 days ago 6 minutes, 22 seconds 24,771 views",Hope Music Entertainment,24771,37644,12873
6,"Yemker Sisay - Eje Tibebegna | እጄ ጥበበኛ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 6 days ago 5 minutes, 24 seconds 35,126 views",Hope Music Entertainment,35126,54347,19221
7,"Adaanuu Geetaachoo - Mirga Galchita - New Ethiopian Oromo Music 2022 (Official Video) by Hope Music Ethiopia 7 days ago 5 minutes, 57 seconds 15,554 views",Hope Music Entertainment,15554,17875,2321
8,"Temesgen Loriso - Higya Echa - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 8 days ago 3 minutes, 33 seconds 53,620 views",Hope Music Entertainment,53620,65339,11719
9,"Mariintol Tolchaa - Wal Mararra - New Ethiopian Oromo  Music 2022 (Official Video) by Hope Music Ethiopia 9 days ago 6 minutes, 56 seconds 15,497 views",Hope Music Entertainment,15497,17233,1736
10,"Demis Asrat - Molalign | ሞላልኝ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 9 days ago 4 minutes, 30 seconds 11,829 views",Hope Music Entertainment,11829,13621,1792
11,"Abraham Nigatu - Simesh | ስምሽ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 10 days ago 5 minutes, 29 seconds 23,447 views",Hope Music Entertainment,23447,28931,5484
12,"Yitbarek Abebe - Kalakorash | ካላኮራሽ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 12 days ago 3 minutes, 52 seconds 66,216 views",Hope Music Entertainment,66216,78328,12112
13,"Ak Zeraf - Libachin | ልባችን - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 13 days ago 4 minutes, 22 seconds 57,736 views",Hope Music Entertainment,57736,71566,13830
14,"Gelaneh Abebe - Aysetim | አይሰጥም - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 2 weeks ago 5 minutes, 51 seconds 48,364 views",Hope Music Entertainment,48364,51876,3512
15,"Redeat Lake - Nama | ናማ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 2 weeks ago 6 minutes, 16 seconds 45,638 views",Hope Music Entertainment,45638,52829,7191
16,"Samson Tafesse - Wededikuachew | ወደድኳቸው - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 2 weeks ago 4 minutes, 37 seconds 23,238 views",Hope Music Entertainment,23238,24554,1316
17,"Sami & Freweini - Alsetim | አልሰጥም - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 2 weeks ago 5 minutes, 11 seconds 191,871 views",Hope Music Entertainment,191871,231897,40026
18,"Dagim Gudeta - Na Eegi - New Ethiopian Oromo Music 2022 (Official Video) by Hope Music Ethiopia 2 weeks ago 4 minutes, 37 seconds 82,423 views",Hope Music Entertainment,82423,83921,1498
19,"Yigzaw Belay - Beka Engedih | በቃ እንግዲህ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 2 weeks ago 6 minutes 63,216 views",Hope Music Entertainment,63216,67872,4656
20,"Hagos Girmay - Xewar Aytkuni | ጸዋር ኣይትኹኒ - New Eritrean Music 2022 (Official Video) by Hope Music Ethiopia 3 weeks ago 5 minutes, 28 seconds 43,628 views",Hope Music Entertainment,43628,44983,1355
21,"Christina Melkamu - Che Belew | ቼ በለው - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 3 weeks ago 4 minutes, 5 seconds 145,562 views",Hope Music Entertainment,145562,157209,11647
22,"Liyat Tibebu - Wenda Wendu | ወንዳ ወንዱ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 3 weeks ago 3 minutes, 50 seconds 101,310 views",Hope Music Entertainment,101310,112691,11381
23,"Bre Bright - Hiriyaa Koo - New Ethiopian Oromo Music 2022 (Official Video) by Hope Music Ethiopia 3 weeks ago 5 minutes, 14 seconds 45,833 views",Hope Music Entertainment,45833,48416,2583
24,"DIDI GAGA - WOZE | ዎዜ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 3 weeks ago 4 minutes, 15 seconds 778,603 views",Hope Music Entertainment,778603,935748,157145
25,"Yisehak Assefa - Akategn | አቃተኝ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 3 weeks ago 3 minutes, 41 seconds 68,884 views",Hope Music Entertainment,68884,76064,7180
26,"Zerihun Kebede - Yishal | ይሻል - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 3 minutes, 59 seconds 59,218 views",Hope Music Entertainment,59218,61301,2083
27,"Mastewal teklu - Leman Biye | ለማን ብዬ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 5 minutes, 36 seconds 245,240 views",Hope Music Entertainment,245240,272253,27013
28,"Wale 96 - Monalisa | ሞናሊዛ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 3 minutes, 45 seconds 163,413 views",Hope Music Entertainment,163413,178243,14830
29,"Melaku Yakob - Yenega Ken | የነጋ ቀን - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 14 seconds 34,583 views",Hope Music Entertainment,34583,35216,633
30,"Berhanu Anteneh - Ayneye | አይንየ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 5 minutes, 17 seconds 38,401 views",Hope Music Entertainment,38401,39106,705
31,"Amanuel Molla - Kene Kibrua | ከነ ክብሯ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 5 minutes, 33 seconds 46,329 views",Hope Music Entertainment,46329,46983,654
32,"Boontuu Kabbadaa - Barii Waqaa - New Ethiopian Oromo Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 55 seconds 35,497 views",Hope Music Entertainment,35497,36896,1399
33,"Fantahun Girma - Engida | እንግዳ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 1 second 92,142 views",Hope Music Entertainment,92142,97538,5396
34,"Vanus Zeda - Sakilgn | ሳቂልኝ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 7 minutes, 59 seconds 512,602 views",Hope Music Entertainment,512602,538096,25494
35,"Toomas Iyyaasuu - Mootii Dubartootaa - New Ethiopian Oromo Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 45 seconds 31,611 views",Hope Music Entertainment,31611,32567,956
36,"Abe Koke - Maal Jedhuure - New Ethiopian Oromo Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 5 minutes, 45 seconds 99,312 views",Hope Music Entertainment,99312,102824,3512
37,"Manalion - Tobiya | ጦቢያ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes 21,709 views",Hope Music Entertainment,21709,21994,285
38,"Melese Tezera - Endalem | እንዳለም - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 5 minutes, 49 seconds 62,011 views",Hope Music Entertainment,62011,63168,1157
39,"Yodit Mekonnen - Emamaye | እማማዬ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 6 minutes, 24 seconds 49,432 views",Hope Music Entertainment,49432,50160,728
40,"Abenet Girma | Yohannes Berhanu | Endale Abate | Tigist Bazezew - Enatachin - Ethiopian Music 2022 by Hope Music Ethiopia 1 month ago 3 minutes, 50 seconds 24,747 views",Hope Music Entertainment,24747,25097,350
41,"Hana Girma - Keteme | ከተሜ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 47 seconds 1,031,143 views",Hope Music Entertainment,1031143,1091501,60358
42,"Tilahun Getachew - Yemar Wuha | የማር ውሃ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 26 seconds 355,071 views",Hope Music Entertainment,355071,382659,27588
43,"Anteneh Asrat - Ayfe | አይፌ - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 14 seconds 29,478 views",Hope Music Entertainment,29478,29838,360
44,"Sara Alemayehu | Selam Alamirew | Betelhem Gashaw - Adirishign | አድርሽኝ - New Ethiopian Music 2022 by Hope Music Ethiopia 1 month ago 3 minutes, 39 seconds 21,980 views",Hope Music Entertainment,21980,22189,209
45,"Redeat Lake - Yasaminew Lij | ያሳምነው ልጅ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 6 minutes, 26 seconds 146,288 views",Hope Music Entertainment,146288,150977,4689
46,"Abera Abdisa - Sikefaw Enji Ayzo Beata | ሲከፋው እንጂ አይዞ ቢያጣ - New Ethiopian Music 2022 by Hope Music Ethiopia 1 month ago 4 minutes, 10 seconds 26,620 views",Hope Music Entertainment,26620,26937,317
47,"Besufekad Tilahun - Almetam Ney | አልመጣም ነይ - New Ethiopian Music 2022 (Official Video) by Hope Music Ethiopia 1 month ago 4 minutes, 17 seconds 338,611 views",Hope Music Entertainment,338611,346188,7577
48,"Misganaw Bogale - Atenekut | አትንኩት - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 7 minutes, 22 seconds 94,587 views",Hope Music Entertainment,94587,97087,2500
49,"Caalaa Isheetee - Biqiltuu Uumamaa - New Ethiopian Oromo Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 6 minutes, 1 second 145,360 views",Hope Music Entertainment,145360,150076,4716
50,"Dawit Mengesha - Anchi Tisikialesh | አንቺ ትስቂያለሽ - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 5 minutes, 12 seconds 137,546 views",Hope Music Entertainment,137546,138945,1399
51,"Atsede Mebratu - Embi Ale | እምቢ አለ - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 7 minutes, 22 seconds 46,400 views",Hope Music Entertainment,46400,46954,554
52,"Tilahun Anbese - Dena Hugni | ደና ሁኝ - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 5 minutes, 49 seconds 270,835 views",Hope Music Entertainment,270835,291536,20701
53,"Tomas X Kebad -   Question - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 3 minutes, 13 seconds 64,906 views",Hope Music Entertainment,64906,66090,1184
54,"Atse Nati - Yalfal | ያልፋል - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 5 minutes, 1 second 40,647 views",Hope Music Entertainment,40647,41010,363
55,"Biruk Shewankitaw - Arb Lay Nen | አርብ ላይ ነን - New Ethiopian Music 2021 (Official Video) by Hope Music Ethiopia 2 months ago 6 minutes, 24 seconds 30,691 views",Hope Music Entertainment,30691,30914,223
