,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Ethiopian Music : Gammachuu Nagarii (Ee Sayyoo) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 37 minutes ago 6 minutes, 52 seconds 499 views",Minew Shewa Entertainment,499,7290,6791
1,"Ethiopian Music : Amanuel Mengiste አማኑኤል መንግስቴ (ማን ጎደለኝ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 1 day ago 7 minutes, 16 seconds 6,149 views",Minew Shewa Entertainment,6149,11283,5134
2,"Ethiopian Music : Anteneh Mengistu አንተነህ መንግስቱ (አይገርመኝም)  - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 3 days ago 5 minutes, 7 seconds 11,647 views",Minew Shewa Entertainment,11647,15651,4004
3,"Ethiopian Music : Tesfaye Chane ተስፋዬ ጫኔ (ተናገር አራዳ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 3 days ago 5 minutes, 36 seconds 5,225 views",Minew Shewa Entertainment,5225,6307,1082
4,"Ethiopian Music : Neway Debebe (Gondar) ነዋይ ደበበ (ጎንደር)  - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 5 days ago 8 minutes, 9 seconds 372,813 views",Minew Shewa Entertainment,372813,595346,222533
5,"Ethiopian Music : Lij Abe (Dummy) ልጅ ኤብ (ዳሚ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 5 days ago 1 minute, 34 seconds 6,695 views",Minew Shewa Entertainment,6695,8202,1507
6,"Ethiopian Music : Seble Sebsibe (Zebibo) ሰብለ ሰብስቤ (ዘቢቦ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 8 days ago 4 minutes, 30 seconds 37,858 views",Minew Shewa Entertainment,37858,42617,4759
7,"Ethiopian Music : Lataa Tolaa (Misirro Ko) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 9 days ago 5 minutes, 53 seconds 12,256 views",Minew Shewa Entertainment,12256,13357,1101
8,"Muluken Nigusse ሙሉቀን ንጉሴ (ኢትዮጵያ ለዘለዓለም ትኑር) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 9 days ago 5 minutes, 13 seconds 6,942 views",Minew Shewa Entertainment,6942,7506,564
9,"ዮሴፍ ደነቀ ፣ ግርማ ዮሃንስ ፣ ወንድሙ ታደሰ ፣ ቦሻ ቦዳ (ሆዴ ባባ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 11 days ago 4 minutes, 49 seconds 8,379 views",Minew Shewa Entertainment,8379,9107,728
10,"Ethiopian Music : Burik (Ayewa) ቡሪክ (አይዋ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 12 days ago 3 minutes, 51 seconds 362,766 views",Minew Shewa Entertainment,362766,504107,141341
11,"Behailu Delelegn በሃይሉ ደለለኝ (ተሰናበቺኝ)  - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 13 days ago 4 minutes, 50 seconds 52,361 views",Minew Shewa Entertainment,52361,64095,11734
12,"Ethiopian Music : Papa ft Hune (Konjo)  - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 2 weeks ago 4 minutes 24,568 views",Minew Shewa Entertainment,24568,27941,3373
13,"Ethiopian Music : Akliilu Bareedaa (Namaqabdaa) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 2 weeks ago 5 minutes, 20 seconds 8,691 views",Minew Shewa Entertainment,8691,8990,299
14,"Ethiopian Music : Mulualem Takele (Wude) ሙሉአለም ታከለ (ውዴ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 2 weeks ago 4 minutes, 36 seconds 702,517 views",Minew Shewa Entertainment,702517,888334,185817
15,"Ethiopian Music : Israel Belete እስራኤል በለጠ (ሱስ ሆነሺብኛል) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 2 weeks ago 4 minutes, 2 seconds 20,389 views",Minew Shewa Entertainment,20389,21701,1312
16,"Ethiopian Music : Manaye Maja ማናዬ ማጃ (ቶጵያይ የለሲ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 3 weeks ago 7 minutes, 31 seconds 7,399 views",Minew Shewa Entertainment,7399,7708,309
17,"Ethiopian Music : Bayu Amore ባዩ አሞሬ (ሃገሬ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 3 weeks ago 6 minutes, 22 seconds 9,161 views",Minew Shewa Entertainment,9161,9447,286
18,"Ethiopian Music : Getu Belete (Wede) ጌቱ በለጠ (ውዴ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 3 weeks ago 7 minutes, 15 seconds 37,305 views",Minew Shewa Entertainment,37305,40021,2716
19,"Ethiopian Music : Melat Kelemwork ሜላት ቀለመወርቅ (ከአፌ ላይ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 3 weeks ago 4 minutes 433,390 views",Minew Shewa Entertainment,433390,545745,112355
20,"Ethiopian Music : Abel Getu (Korash) አቤል ጌቱ (ኮራሽ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 3 weeks ago 3 minutes, 12 seconds 17,763 views",Minew Shewa Entertainment,17763,18353,590
21,"Ethiopian Music : Minale Tadesse ምናለ ታደሰ (ኢትዮጵያ ከፍ በይ) - New Ethiopian Music 2021(Official Video) by Minew Shewa Tube 1 month ago 5 minutes, 27 seconds 7,309 views",Minew Shewa Entertainment,7309,7480,171
22,"Oromo Music : Hayiluu Kitaabaa (Fooliin Gootaa) - New Oromo Music 2022(Official Video) by Minew Shewa Tube 1 month ago 7 minutes, 16 seconds 32,232 views",Minew Shewa Entertainment,32232,34038,1806
23,"Ethiopian Music : Zebader Alemu ዘብአደር አለሙ (ልገስግስ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 1 month ago 6 minutes, 42 seconds 14,208 views",Minew Shewa Entertainment,14208,14481,273
24,"Ethiopian Music : Ashenafi kebede (Hellwa) አሸናፊ ከበደ (ሄልዋ) - New Ethiopian Music 2022(Official Video) by Minew Shewa Tube 1 month ago 3 minutes, 53 seconds 18,837 views",Minew Shewa Entertainment,18837,19247,410
