,Posts,Channel,Views_03/03,Views_03/12,view_delta
0,"Yared Negu - Yegir Esat |ያሬድ ነጉ - የእግር እሳት ከካሜራ በስተጀርባ 2022 by 16 Plus Entertainment 2 weeks ago 13 minutes, 6 seconds 534 views",16 Plus Entertainment,534,643,109
1,"Zebiba Girma - Ayehu Gela - ዘቢባ ግርማ - አየሁ ገላ የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ  2021 by 16 Plus Entertainment 3 months ago 18 minutes 1,069 views",16 Plus Entertainment,"1,069","1,121",52
2,26 September 2021 by 16 Plus Entertainment 5 months ago 16 seconds 255 views,16 Plus Entertainment,255,260,5
3,"Yared Negu & Millen Hailu-(BIRA-BIRO)የ ያሬድ ነጉ እና የ ሚለን ሀይሉ 'ቢራቢሮ' የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ ክፍል ሁለት 2021 by 16 Plus Entertainment 7 months ago 11 minutes, 57 seconds 159,257 views",16 Plus Entertainment,"159,257","159,913",656
4,"Ethiopian Music Bisrat Surafel ብስራት ሱራፌል (ትሆን ወይ) የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ Behind Scenes 2021 by 16 Plus Entertainment 7 months ago 23 minutes 6,543 views",16 Plus Entertainment,"6,543","6,618",75
5,"Yared Negu & Millen Hailu - (BIRA-BIRO)የ ያሬድ ነጉ እና የ ሚለን ሀይሉ 'ቢራቢሮ' የሙዚቃ ቪዲዮ ከካሜራ በስተጀርባ 2021 by 16 Plus Entertainment 8 months ago 16 minutes 354,415 views",16 Plus Entertainment,"354,415","354,947",532
6,ልዩ የበዓል ፕሮግራም ክፍል 1 by 16 Plus Entertainment 1 year ago 19 minutes 597 views,16 Plus Entertainment,597,599,2
7,"Ethiopia: Zebiba Girma (Zim) ዘቢባ ግርማ (ዝም) - New Ethiopian Music 2020(Official Video) by 16 Plus Entertainment 1 year ago 1 minute, 15 seconds 348,514 views",16 Plus Entertainment,"348,514","350,044",1530
8,"ጃኪ ጎሲ | እንዳሞራው  - Jacky Gosee | Ende Amoraw || BEHIND THE SCENES || ምርጥ ከካሜራ ጀርባ ትእይንቶች by 16 Plus Entertainment 2 years ago 12 minutes, 5 seconds 22,298 views",16 Plus Entertainment,"22,298","22,344",46
9,"ወጣት በ 97 | WETAT BE 97 - ከካሜራ ጀርባ ትእይንቶች || ክፍል 2 || 16 Film Production by 16 Plus Entertainment 2 years ago 9 minutes, 16 seconds 12,853 views",16 Plus Entertainment,"12,853","13,098",245
10,"ወጣት በ 97 | WETAT BE 97 - ከካሜራ ጀርባ ትእይንቶች || ክፍል 1 - 16 Film Production by 16 Plus Entertainment 2 years ago 8 minutes, 51 seconds 10,580 views",16 Plus Entertainment,"10,580","10,899",319
11,"ኢትኤል Ethiopian movie trailer - Ethal 2019 - 16 Film Production by 16 Plus Entertainment 2 years ago 2 minutes, 31 seconds 15,495 views",16 Plus Entertainment,"15,495","15,504",9
12,"Behind The Scene Kako Getachew - Aroge Arada 2 - አሮጌ አራዳ 2 music video - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 5 seconds 15,685 views",16 Plus Entertainment,"15,685","15,767",82
13,"Welcome To 16 Film production official Channel - 16 Film Production by 16 Plus Entertainment 2 years ago 1 minute, 32 seconds 4,860 views",16 Plus Entertainment,"4,860","4,882",22
14,"Asgegnew Ashko Asge /Lade / ላዴ  Music Mideo Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 46 seconds 2,737 views",16 Plus Entertainment,"2,737","2,744",7
15,"Bisrat Surafel /Yebet Sira /የቤት ስራ Music clip Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 2 minutes, 28 seconds 4,348 views",16 Plus Entertainment,"4,348","4,355",7
16,"ያሬድ ነጉ - ያጉቴ - ከካሜራ ጀርባ || Yared Negu - Yagute - Music video Behind The Scene - 16 Film Production by 16 Plus Entertainment 2 years ago 4 minutes, 39 seconds 104,136 views",16 Plus Entertainment,"104,136","104,229",93
